FuncionarioChave;Data;DiaSemana;Codigo;Fonte;Observacao
NVBN;2022-11-08;TER;NB;STD_2022;
FRD9;2022-11-08;TER;NB;STD_2022;
WV8P;2022-11-08;TER;NB;STD_2022;
M37R;2022-11-08;TER;NB;STD_2022;
KB1O;2022-11-08;TER;NB;STD_2022;
URON;2022-11-08;TER;NB;STD_2022;
WMFR;2022-11-08;TER;NB;STD_2022;
URVX;2022-11-08;TER;NB;STD_2022;
EK5H;2022-11-09;QUA;NB;STD_2022;
YMOF;2022-11-09;QUA;NB;STD_2022;
NSYD;2022-11-09;QUA;EM;STD_2022;
TFBN;2022-11-09;QUA;NB;STD_2022;
U4IC;2022-11-09;QUA;NB;STD_2022;
CX1A;2022-11-09;QUA;NB;STD_2022;
URPQ;2022-11-09;QUA;NB;STD_2022;
U3PE;2022-11-09;QUA;NB;STD_2022;
U3PX;2022-11-09;QUA;NB;STD_2022;
URGU;2022-11-09;QUA;NB;STD_2022;
B5QM;2022-11-09;QUA;NB;STD_2022;
BH1E;2022-11-09;QUA;NB;STD_2022;
CXLT;2022-11-09;QUA;NB;STD_2022;
JMU9;2022-11-09;QUA;NB;STD_2022;
FRCF;2022-11-09;QUA;NB;STD_2022;
YT3I;2022-11-09;QUA;NB;STD_2022;
NVBN;2022-11-09;QUA;NB;STD_2022;
FRD9;2022-11-09;QUA;NB;STD_2022;
WV8P;2022-11-09;QUA;NB;STD_2022;
M37R;2022-11-09;QUA;NB;STD_2022;
KB1O;2022-11-09;QUA;NB;STD_2022;
URON;2022-11-09;QUA;NB;STD_2022;
WMFR;2022-11-09;QUA;NB;STD_2022;
URVX;2022-11-09;QUA;NB;STD_2022;
EK5H;2022-11-10;QUI;NB;STD_2022;
YMOF;2022-11-10;QUI;NB;STD_2022;
NSYD;2022-11-10;QUI;O;STD_2022;
TFBN;2022-11-10;QUI;NB;STD_2022;
U4IC;2022-11-10;QUI;NB;STD_2022;
CX1A;2022-11-10;QUI;NB;STD_2022;
URPQ;2022-11-10;QUI;NB;STD_2022;
U3PE;2022-11-10;QUI;NB;STD_2022;
U3PX;2022-11-10;QUI;NB;STD_2022;
URGU;2022-11-10;QUI;NB;STD_2022;
B5QM;2022-11-10;QUI;NB;STD_2022;
BH1E;2022-11-10;QUI;NB;STD_2022;
CXLT;2022-11-10;QUI;NB;STD_2022;
JMU9;2022-11-10;QUI;NB;STD_2022;
FRCF;2022-11-10;QUI;NB;STD_2022;
YT3I;2022-11-10;QUI;NB;STD_2022;
NVBN;2022-11-10;QUI;NB;STD_2022;
FRD9;2022-11-10;QUI;NB;STD_2022;
WV8P;2022-11-10;QUI;NB;STD_2022;
M37R;2022-11-10;QUI;NB;STD_2022;
KB1O;2022-11-10;QUI;NB;STD_2022;
URON;2022-11-10;QUI;NB;STD_2022;
WMFR;2022-11-10;QUI;NB;STD_2022;
URVX;2022-11-10;QUI;NB;STD_2022;
EK5H;2022-11-11;SEX;NB;STD_2022;
YMOF;2022-11-11;SEX;NB;STD_2022;
NSYD;2022-11-11;SEX;O;STD_2022;
TFBN;2022-11-11;SEX;NB;STD_2022;
U4IC;2022-11-11;SEX;NB;STD_2022;
CX1A;2022-11-11;SEX;NB;STD_2022;
URPQ;2022-11-11;SEX;NB;STD_2022;
U3PE;2022-11-11;SEX;NB;STD_2022;
U3PX;2022-11-11;SEX;NB;STD_2022;
URGU;2022-11-11;SEX;NB;STD_2022;
B5QM;2022-11-11;SEX;NB;STD_2022;
BH1E;2022-11-11;SEX;NB;STD_2022;
CXLT;2022-11-11;SEX;NB;STD_2022;
JMU9;2022-11-11;SEX;NB;STD_2022;
FRCF;2022-11-11;SEX;NB;STD_2022;
YT3I;2022-11-11;SEX;NB;STD_2022;
NVBN;2022-11-11;SEX;NB;STD_2022;
FRD9;2022-11-11;SEX;NB;STD_2022;
WV8P;2022-11-11;SEX;NB;STD_2022;
M37R;2022-11-11;SEX;NB;STD_2022;
KB1O;2022-11-11;SEX;NB;STD_2022;
URON;2022-11-11;SEX;NB;STD_2022;
WMFR;2022-11-11;SEX;NB;STD_2022;
URVX;2022-11-11;SEX;NB;STD_2022;
EK5H;2022-11-12;SAB;NB;STD_2022;
YMOF;2022-11-12;SAB;NB;STD_2022;
NSYD;2022-11-12;SAB;O;STD_2022;
TFBN;2022-11-12;SAB;NB;STD_2022;
U4IC;2022-11-12;SAB;NB;STD_2022;
CX1A;2022-11-12;SAB;NB;STD_2022;
URPQ;2022-11-12;SAB;NB;STD_2022;
U3PE;2022-11-12;SAB;NB;STD_2022;
U3PX;2022-11-12;SAB;NB;STD_2022;
URGU;2022-11-12;SAB;NB;STD_2022;
B5QM;2022-11-12;SAB;NB;STD_2022;
BH1E;2022-11-12;SAB;NB;STD_2022;
CXLT;2022-11-12;SAB;NB;STD_2022;
JMU9;2022-11-12;SAB;NB;STD_2022;
FRCF;2022-11-12;SAB;NB;STD_2022;
YT3I;2022-11-12;SAB;NB;STD_2022;
NVBN;2022-11-12;SAB;NB;STD_2022;
FRD9;2022-11-12;SAB;NB;STD_2022;
WV8P;2022-11-12;SAB;NB;STD_2022;
M37R;2022-11-12;SAB;NB;STD_2022;
KB1O;2022-11-12;SAB;NB;STD_2022;
URON;2022-11-12;SAB;NB;STD_2022;
WMFR;2022-11-12;SAB;NB;STD_2022;
URVX;2022-11-12;SAB;NB;STD_2022;
EK5H;2022-11-13;DOM;NB;STD_2022;
YMOF;2022-11-13;DOM;NB;STD_2022;
NSYD;2022-11-13;DOM;O;STD_2022;
TFBN;2022-11-13;DOM;NB;STD_2022;
U4IC;2022-11-13;DOM;NB;STD_2022;
CX1A;2022-11-13;DOM;NB;STD_2022;
URPQ;2022-11-13;DOM;NB;STD_2022;
U3PE;2022-11-13;DOM;NB;STD_2022;
U3PX;2022-11-13;DOM;NB;STD_2022;
URGU;2022-11-13;DOM;NB;STD_2022;
B5QM;2022-11-13;DOM;NB;STD_2022;
BH1E;2022-11-13;DOM;NB;STD_2022;
CXLT;2022-11-13;DOM;NB;STD_2022;
JMU9;2022-11-13;DOM;NB;STD_2022;
FRCF;2022-11-13;DOM;NB;STD_2022;
YT3I;2022-11-13;DOM;NB;STD_2022;
NVBN;2022-11-13;DOM;NB;STD_2022;
FRD9;2022-11-13;DOM;NB;STD_2022;
WV8P;2022-11-13;DOM;NB;STD_2022;
M37R;2022-11-13;DOM;NB;STD_2022;
KB1O;2022-11-13;DOM;NB;STD_2022;
URON;2022-11-13;DOM;NB;STD_2022;
WMFR;2022-11-13;DOM;NB;STD_2022;
URVX;2022-11-13;DOM;NB;STD_2022;
EK5H;2022-11-14;SEG;NB;STD_2022;
YMOF;2022-11-14;SEG;NB;STD_2022;
NSYD;2022-11-14;SEG;O;STD_2022;
TFBN;2022-11-14;SEG;NB;STD_2022;
U4IC;2022-11-14;SEG;NB;STD_2022;
CX1A;2022-11-14;SEG;NB;STD_2022;
URPQ;2022-11-14;SEG;NB;STD_2022;
U3PE;2022-11-14;SEG;NB;STD_2022;
